kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil
JEMBER,459043,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,4.0,15413.74,Kabupaten Jember,"1,74",0.321,46.04199346404545,420
JOMBANG,448830,74.66,9.04,5.47,2654095.88,1338.6,0.85,3.25,1203.5,101.65,2022,1.0,7267.7,Kota Surabaya,3.16,0.31,445.4301919720768,97
JOMBANG,448830,74.66,9.04,5.47,2654095.88,1338.6,0.85,3.25,1203.5,101.65,2022,2.0,7479.8,Kota Surabaya,4.89,0.31,170.9916546242157,99
JOMBANG,448830,74.66,9.04,5.47,2654095.88,1338.6,0.85,3.25,1203.5,101.65,2022,3.0,7973.62,Kota Surabaya,6.91,0.31,316.83862660921545,102
JOMBANG,448830,74.66,9.04,5.47,2654095.88,1338.6,0.85,3.25,1203.5,101.65,2022,4.0,7365.05,Kota Surabaya,6.59,0.31,438.823391812224,116
JOMBANG,488754,75.16,9.15,4.66,2945544.0,1351.3,0.91,3.25,1218.0,101.6,2023,1.0,7651.23,Kota Surabaya,6.3,0.339,148.82747380657878,120
JOMBANG,488754,75.16,9.15,4.66,2945544.0,1351.3,0.91,3.25,1218.0,101.6,2023,2.0,7960.62,Kota Surabaya,4.91,0.339,202.355056179667,145
JOMBANG,488754,75.16,9.15,4.66,2945544.0,1351.3,0.91,3.25,1218.0,101.6,2023,3.0,8292.69,Kota Surabaya,3.14,0.339,600.1953114530475,81
JOMBANG,488754,75.16,9.15,4.66,2945544.0,1351.3,0.91,3.25,1218.0,101.6,2023,4.0,7698.23,Kota Surabaya,3.03,0.339,104.39271924980451,82
JOMBANG,514170,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,1.0,7895.34,Kota Surabaya,2.99,0.302,106.2319757364764,81
JOMBANG,514170,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,2.0,8414.28,Kota Surabaya,2.35,0.302,197.62288645199945,81
JOMBANG,514170,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,3.0,8780.83,Kota Surabaya,1.65,0.302,229.07700693744843,90
JOMBANG,514170,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,4.0,8140.03,Kota Surabaya,"1,38",0.302,118.63021227097452,227
KEDIRI,353033,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,1.0,7228.16,Kota Kediri,2.33,0.329,2180.7481188118813,73
KEDIRI,353033,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,2.0,7633.04,Kota Kediri,4.03,0.329,6959.772340277452,74
KEDIRI,353033,74.2,10.65,6.83,2043422.93,1660.8,0.83,4.03,1143.5,101.95,2022,3.0,8117.89,Kota Kediri,6.29,0.329,2512.2906249842986,75
